matchday,date,date_display,time_et,day_of_week,month,date_sort,home_team,away_team,stadium,venue_type,game_label
6,02/05/2026 20:45,"May 02, 2026",8:45 PM,Saturday,May,2026-05-02,Angel City FC,Utah Royals FC,BMO Stadium,home_venue,"May 02, 2026  8:45 PM  —  Angel City FC vs Utah Royals FC"
6,03/05/2026 13:00,"May 03, 2026",1:00 PM,Sunday,May,2026-05-03,Chicago Stars FC,Portland Thorns FC,Northwestern Martin Stadium (temporary),home_venue,"May 03, 2026  1:00 PM  —  Chicago Stars FC vs Portland Thorns FC"
6,03/05/2026 15:00,"May 03, 2026",3:00 PM,Sunday,May,2026-05-03,Boston Legacy FC,Denver Summit FC,Gillette Stadium,home_venue,"May 03, 2026  3:00 PM  —  Boston Legacy FC vs Denver Summit FC"
6,03/05/2026 17:00,"May 03, 2026",5:00 PM,Sunday,May,2026-05-03,NJ/NY Gotham FC,Racing Louisville FC,Red Bull Arena,home_venue,"May 03, 2026  5:00 PM  —  NJ/NY Gotham FC vs Racing Louisville FC"
6,03/05/2026 19:00,"May 03, 2026",7:00 PM,Sunday,May,2026-05-03,San Diego Wave FC,Bay FC,Snapdragon Stadium,home_venue,"May 03, 2026  7:00 PM  —  San Diego Wave FC vs Bay FC"
7,06/05/2026 22:00,"May 06, 2026",10:00 PM,Wednesday,May,2026-05-06,Utah Royals FC,Houston Dash,America First Field,home_venue,"May 06, 2026  10:00 PM  —  Utah Royals FC vs Houston Dash"
7,08/05/2026 18:30,"May 08, 2026",6:30 PM,Friday,May,2026-05-08,Racing Louisville FC,Portland Thorns FC,Lynn Family Stadium,home_venue,"May 08, 2026  6:30 PM  —  Racing Louisville FC vs Portland Thorns FC"
7,08/05/2026 20:00,"May 08, 2026",8:00 PM,Friday,May,2026-05-08,Orlando Pride,North Carolina Courage,INTER&Co Stadium,home_venue,"May 08, 2026  8:00 PM  —  Orlando Pride vs North Carolina Courage"
7,09/05/2026 18:30,"May 09, 2026",6:30 PM,Saturday,May,2026-05-09,NJ/NY Gotham FC,Boston Legacy FC,Red Bull Arena,home_venue,"May 09, 2026  6:30 PM  —  NJ/NY Gotham FC vs Boston Legacy FC"
7,09/05/2026 20:00,"May 09, 2026",8:00 PM,Saturday,May,2026-05-09,Houston Dash,Denver Summit FC,Shell Energy Stadium,home_venue,"May 09, 2026  8:00 PM  —  Houston Dash vs Denver Summit FC"
